chem,var_importance,tot_instances,uniq_instances
Plscr_4_55764,8672.350805205755,5306,75
Hist_1_h_2_bc_29206,2845.2930992846436,8652,100
P,2394.778113506593,6661,60
Myc_30907,1034.373901960793,1284,78
Tspan_4_30708,806.040693232369,1075,63
Ti,790.3931966288181,482,7
PO_4,787.126989007564,6,5
Silicon,608.886468242771,117,16
Hsph_1_73551,344.90208437097033,117,16
Cxcl_10_29431,328.34242816990417,2604,32
Csrnp_1_69505,225.39771305697363,15,11
Pyrene,189.31699049060495,49,15
Rgs_16_60383,166.84079175955398,3,3
Atp_6_v_0_d_2_76694,162.3043323171677,5,4
Egr_1_58083,149.65123734618936,402,10
Cr,144.77526581616738,39,2
Kbtbd_7_76521,126.08855826968538,418,13
Arf_1_31811,88.04243141154055,5370,46
K,74.24235042946897,976,5
Cyp_1_a_1_29719,73.95749566232423,4,4
Omd_75393,68.9916141502544,3,3
Socs_3_31487,54.6732094853832,3,3
Nqo_1_29503,39.47788949954753,2,2
Na,35.62117521473449,90,1
Alg_11_64834,32.2368962577669,3,3
Cdkn_2_a_67661,30.207941297679902,326,6
Cyp_1_b_1_72511,25.196215523459973,3,3
Zfp_994_73585,13.060083328639802,8,3
C_530008_M_17_Rik_76670,7.635750391625521,1,1
Cyp_1_a_1_79654,4.0,5,4
Sgcg_29583,2.2501195038468507,1,1
Thnsl_1_66164,2.0,287,2
Nppa_58684,2.0,2,2
Ephb_6_66860,1.0,170,1
Syce_2_75594,1.0,1,1
Gpc_1_58802,1.0,1,1
Tmem_68_65264,1.0,1,1
Tfdp_2_69536,1.0,1,1
Indeno_123_cdpyrene,0.9999999999999996,8,1
NH_4,-0.9999999999999998,14,1
var2_Methylnaphthalene,-0.9999999999999998,1,1
Fbxo_7_30569,-1.0,3,1
Picalm_80276,-1.0,1,1
AC_1324446_82305,-1.0,1,1
Ube_3_a_65027,-1.0,4,1
Dusp_11_79084,-1.0,90,1
Muc_5_b_58389,-2.0,6,1
Wt_1_63516,-2.0,2366,2
Gm_43302_29203,-2.4563563,67,1
Cnot_10_70213,-4.0,208,4
Stpg_1_80557,-4.190231300000001,1,1
Tcap_31038,-5.0,301,5
Kdm_6_a_65647,-10.999999999999998,43,9
var9930111_J_21_Rik_1_66397,-13.573672000000002,31,4
Mettl_14_68520,-20.9191512,1282,12
Sh_3_gl_2_31946,-26.35494482362246,137,2
var1_Methylnaphthalene,-26.592571000000003,170,1
Gm_5737_59680,-49.5405158303387,70,3
Tnfrsf_9_66723,-195.28152517960595,349,13
Asb_14_29409,-205.0625688222625,825,15
Snrpd_1_63068,-236.1082972637222,3553,14
Propylguaiacol,-274.51808988041967,8,3
Tnip_3_58404,-376.50784128405223,556,18
Methoxymethylphenol,-516.7722728085829,175,39
Ethylguaiacol,-889.2660098674633,3568,25
Isoeugenol,-961.9408407281388,3821,45
Tacr_1_72530,-1221.4807242832644,1047,48
