chem,var_importance,tot_instances,uniq_instances
<<<<<<< HEAD
var2,11675.973288856554,6186,127
var6,4238.396132445667,6186,127
var13,173.0205451332762,5682,123
var5,19.603455764207432,2788,52
var7,1.1330095772714903,298,7
var8,0.2086893399249819,1,1
var14,-0.11770460963742319,57,3
=======
var2,11740.340539345334,6687,132
var6,4239.396132445668,6244,128
var13,173.0205451332762,5682,123
var5,19.603455764207432,2788,52
var8,1.2086893399249818,26,2
var7,1.1330095772714903,298,7
var3,1.0,411,1
var14,-0.04258756322140567,63,4
>>>>>>> dc43e259b8bec7d5a480553cd54821c0bf72e68b
var15,-0.15077657762277608,14,3
var4,-0.29543890298385883,18,2
var9,-9.303910513581934,532,9
var11,-29.76039099374556,591,15
<<<<<<< HEAD
var12,-138.99330612726675,68,8
=======
var12,-138.99330612726683,68,8
>>>>>>> dc43e259b8bec7d5a480553cd54821c0bf72e68b
var10,-24566.80566432403,4796,112
