chem,var_importance,tot_instances,uniq_instances
<<<<<<< HEAD
var2,14872.156628845227,4787,153
var6,6088.1940410577645,5784,164
var13,220.3126345844519,5259,148
var7,7.43463144561244,2006,40
var11,2.2536879073928286,117,4
var3,0.04528122057614751,8,3
var4,-0.20793861849561573,111,2
var9,-1.5906143455382828,1,1
=======
var2,14873.156628845227,4800,154
var6,6264.8935698440555,5802,167
var13,220.6226453135844,5262,149
var7,39.671445344131236,2209,42
var11,2.2536879073928286,117,4
var3,1.0452812205761475,206,4
var4,0.7920613815043842,179,3
var9,-1.5906143455382833,1,1
>>>>>>> dc43e259b8bec7d5a480553cd54821c0bf72e68b
var12,-6.7035633994200525,119,2
var10,-19775.044248027785,4242,121
